"N","bbc_rate","bbc_sys","bbc_stat","bpm_x","bpm_x_sys","bpm_x_stat","bpm_y","bpm_y_sys","bpm_y_stat"
"0","175.555","14.1644","1.5256","-1002.45","10","0.554307","64.8333","10","0.541896"
"1","4072.94","105.131","8.85523","-758.344","10","1.23388","64.375","10","0.544862"
"2","16455.8","337.104","18.8803","-617.167","10","0.649786","64.8333","10","0.596285"
"3","51757.3","949.601","37.994","-462.767","10","0.654896","63.9","10","0.711805"
"4","111213","1663.09","65.2759","-310.667","10","0.537484","65.7","10","0.6"
"5","178671","4021.45","91.2189","-150.767","10","0.54365","64.4333","10","0.727247"
"6","215124","5156.1","107.545","14.6333","10","0.644636","63.3667","10","0.74087"
"7","193701","3582.68","104.245","187.846","10","0.631988","63.5385","10","0.498519"
"8","131248","2623.88","72.5569","349.9","10","0.734847","63.4667","10","0.718022"
"9","65289.7","1211.68","45.7415","505.679","10","0.485767","63.0357","10","0.549814"
"10","23926.6","472.637","23.4388","654.333","10","0.394405","64.4667","10","0.46428"
"11","5907.76","104.775","10.7214","804.531","10","0.779999","63.9688","10","0.483113"
"12","270.167","19.9506","1.93657","1049","10","0.570088","64.925","10","0.884237"
"13","172.451","13.9776","1.50123","28.7143","10","0.795395","-970.714","10","0.646813"
"14","3792.73","79.859","8.62214","28","10","0.57735","-729.567","10","0.512076"
"15","17819.2","324.22","19.9587","28.6333","10","0.763035","-573.667","10","0.906765"
"16","50373.2","827.881","37.3785","29.4333","10","0.512076","-433.071","10","0.775913"
"17","111020","1821.7","62.1833","28.1562","10","0.80465","-277.5","10","0.467707"
"18","181950","3028.33","93.3497","27.4","10","0.522813","-105.5","10","0.730297"
"19","212788","5928.14","104.852","25.2333","10","0.478423","62.7333","10","0.628932"
"20","187950","3787.05","95.7012","24.3667","10","0.531246","221.733","10","0.873053"
"21","117658","2112.27","69.9659","25.0769","10","0.851382","394.885","10","0.788227"
"22","53342.4","983.614","39.8714","24.9643","10","0.812058","553.107","10","0.572544"
"23","17344.7","280.22","20.5761","23.7143","10","0.589015","701.893","10","0.572544"
"24","3740.97","106.468","8.73999","25.25","10","0.526104","852.714","10","0.646813"
"25","142.947","12.2743","1.38582","23.275","10","0.732718","1105","10","0.866025"
